"Parent Molecule";"Name";"Synonyms";"Research Codes";"Phase";"Drug Applicants";"USAN Stem";"USAN Year";"USAN Definition";"USAN Stem - Substem";"First Approval";"ATC Codes";"Level 4 ATC Codes";"Level 3 ATC Codes";"Level 2 ATC Codes";"Level 1 ATC Codes";"Indication Class";"Patent";"Drug Type";"Passes Rule of Five";"First In Class";"Chirality";"Prodrug";"Oral";"Parenteral";"Topical";"Black Box";"Availability Type";"Smiles"
"CHEMBL2105075";"FLOCTAFENINE";"DIRALGAN|FLOCTAFENIN|FLOCTAFENINE|IDALON|Idarac|NOVODOLAN|R 4318|R-4138|R-4318|RU 15750|RU-15750";"R 4318|R-4138|R-4318|RU 15750|RU-15750";"-1.0";"";"'-fenine'";"1977";"analgesics (fenamic acid subgroup)";"'-fenine(-fenine)'";"";"N02BG04";"N02BG - Other analgesics and antipyretics";"N02B - OTHER ANALGESICS AND ANTIPYRETICS";"N02 - ANALGESICS";"N - NERVOUS SYSTEM";"Analgesic";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"O=C(OCC(O)CO)c1ccccc1Nc1ccnc2c(C(F)(F)F)cccc12"
"CHEMBL4594257";"ROVAFOVIR ETALAFENAMIDE";"GS-9131|GS-9148 PHOSPHONOAMIDATE PRODRUG|GS9131|ROVAFOVIR ETALAFENAMIDE";"GS-9131|GS-9148 PHOSPHONOAMIDATE PRODRUG|GS9131";"2.0";"";"'-vir'";"2019";"antivirals";"'-vir(-vir)'";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"1";"0";"0";"0";"0";"Unknown";"CCOC(=O)[C@H](C)N[P@](=O)(CO[C@@H]1C=C(F)[C@H](n2cnc3c(N)ncnc32)O1)Oc1ccccc1"
"CHEMBL4297696";"AR-105";"AERUCIN|AR-105";"AR-105";"2.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"-1:Unknown";"1";"0";"Unknown";"0";"0";"0";"0";"0";"Unknown";""
"CHEMBL3989512";"SOBLIDOTIN";"AURISTATIN PE|SOBLIDOTIN|TZT-1027";"TZT-1027";"2.0";"";"'-dotin'";"";"synthetic analogs of the dolastatin series";"'-dotin(-dotin)'";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)NCCc1ccccc1)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C)C(C)C"
"CHEMBL1957038";"IDRONOXIL";"DEHYDROEQUOL|IDRONOXIL|NV-06|PHENOXODIOL";"NV-06";"1.0";"";"";"2000";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"Oc1ccc(C2=Cc3ccc(O)cc3OC2)cc1"
"CHEMBL118865";"SPIRADOLINE";"SPIRADOLINE";"";"1.0";"";"'-adol-'";"1989";"analgesics (mixed opiate receptor agonists/antagonists)";"'-adol-(-adol-)'";"";"";"";"";"";"";"Analgesic";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"CN(C(=O)Cc1ccc(Cl)c(Cl)c1)C1CCC2(CCCO2)CC1N1CCCC1"
"CHEMBL4594465";"BI-1206";"ANTI-HFCGAMMARIIB MAB BI-1206|BI 1206|BI-1206|BI1206";"BI-1206|BI1206";"1.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"-1:Unknown";"0";"0";"Unknown";"0";"0";"0";"0";"0";"Unknown";""
"CHEMBL3989943";"DAPANSUTRILE";"DAPANSUTRILE|OLT-1177|OLT1177";"OLT-1177|OLT1177";"2.0";"";"";"2016";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CS(=O)(=O)CCC#N"
"CHEMBL3707285";"FERRIC HYDROXIDE";"FERRIC HYDROXIDE";"";"2.0";"";"";"";"";"";"";"B03AB04";"B03AB - Iron trivalent, oral preparations";"B03A - IRON PREPARATIONS";"B03 - ANTIANEMIC PREPARATIONS";"B - BLOOD AND BLOOD FORMING ORGANS";"";"None";"9:Inorganic";"0";"0";"Unknown";"0";"0";"0";"0";"0";"Unknown";""
"CHEMBL1201776";"TAPENTADOL";"BN 200 (BASE)|BN-200|CG-5503|CG5503|CG5503 (BASE)|CG5503 IR|NSC-759619|TAPENTADOL";"BN 200 (BASE)|BN-200|CG-5503|CG5503|CG5503 (BASE)|CG5503 IR|NSC-759619";"4.0";"Collegium Pharmaceutical Inc";"'-adol'";"2005";"analgesics (mixed opiate receptor agonists/antagonists)";"'-adol(-adol)'";"2008";"N02AX06";"N02AX - Other opioids";"N02A - OPIOIDS";"N02 - ANALGESICS";"N - NERVOUS SYSTEM";"";"US-RE39593-E1";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"1";"0";"0";"1";"Prescription Only";"CC[C@@H](c1cccc(O)c1)[C@@H](C)CN(C)C"
